Year,Month,Day,Weekday,Product_ID,Marketing_Campaign,Seasonal_Trend,Stock_Availability,Base_Sales,Marketing_Effect,Seasonal_Effect,Discount,Competitor_Price,Public_Holiday,Price,Demand
2021,1,1,4,2,4,3,225,115,2.0571645677390795,0.8,0.0898240144962441,35.99377743378828,1,44.73365295402584,52986.0
2021,1,1,4,3,2,1,106,122,1.2180785659113542,1.0,0.1846896387435621,85.57021577283022,1,91.6476192142882,15130.0
2021,1,1,4,1,2,3,90,168,1.4058183444674046,0.8,0.1051155359952516,35.33101856765812,1,39.19158535087456,18568.0
2021,1,1,4,3,2,2,331,131,1.2205676197179125,1.2,0.149450517714644,63.45608406673062,0,73.2431078707308,68584.0
2021,1,1,4,2,3,2,130,186,1.3883430015847402,1.2,0.0844154169710562,29.06781343511356,1,31.75333986155317,44320.0
2021,1,1,4,2,4,3,392,96,1.8160756035645125,0.8,0.0952995986596976,30.212210697227786,0,33.06503779829614,59547.0
2021,1,1,4,2,1,3,258,115,1.0,0.8,0.1024795436463541,54.85878241940146,0,59.83435261620535,25559.0
2021,1,1,4,2,0,3,403,66,1.1592655562921297,0.8,0.1187619833193072,53.26606134160389,1,59.46791112052378,26695.0
2021,1,1,4,0,2,3,147,193,1.2993582327071624,0.8,0.0875708293726351,95.52191673262878,0,98.08003671195162,30392.0
2021,1,1,4,0,0,1,208,68,1.3561063482608986,1.0,0.0754408388116325,59.78374577572486,1,61.5999749063907,20099.0
2021,1,1,4,1,1,3,116,66,1.0,0.8,0.0784821480382392,43.98643710241498,1,46.719605412284295,6594.0
2021,1,1,4,4,3,1,361,79,1.5967768850405235,1.0,0.0585371071521014,28.13344669921489,1,30.780289717347195,51596.0
2021,1,1,4,2,0,0,263,162,1.414992617154463,1.1,0.143664042958877,85.00809069007686,1,91.96618470584411,67580.0
2021,1,1,4,0,0,0,283,89,1.0411558974149218,1.1,0.0708704682114238,77.40603637713616,1,85.57828072287596,32594.0
2021,1,1,4,2,0,0,187,122,1.214377834960693,1.1,0.1895347098829028,66.4148681684823,0,71.34249939331707,29184.0
